Entity,Code,Year,Wind (% growth)
Non-OECD (BP),,2000,24.344562530517578
Non-OECD (BP),,2001,35.8368034362793
Non-OECD (BP),,2002,8.162760734558105
Non-OECD (BP),,2003,19.72385597229004
Non-OECD (BP),,2004,68.85840606689453
Non-OECD (BP),,2005,19.8727970123291
Non-OECD (BP),,2006,60.48753356933594
Non-OECD (BP),,2007,32.42106628417969
Non-OECD (BP),,2008,56.56131362915039
Non-OECD (BP),,2009,55.370365142822266
Non-OECD (BP),,2010,57.077693939208984
Non-OECD (BP),,2011,41.84211349487305
Non-OECD (BP),,2012,34.75878143310547
Non-OECD (BP),,2013,30.396175384521484
Non-OECD (BP),,2014,18.358814239501953
Non-OECD (BP),,2015,19.862056732177734
Non-OECD (BP),,2016,30.25316047668457
Non-OECD (BP),,2017,24.789630889892578
Non-OECD (BP),,2018,18.832290649414062
Non-OECD (BP),,2019,12.38110065460205
Non-OECD (BP),,2020,12.004554748535156
Non-OECD (BP),,2021,33.91119384765625
North America,,1984,143.25341796875
North America,,1985,4.036974906921387
North America,,1986,-23.296810150146484
North America,,1987,-12.512052536010742
North America,,1988,-58.927391052246094
North America,,1989,113442.8828125
North America,,1990,32.108211517333984
North America,,1991,5.81592321395874
North America,,1992,-0.23421049118041992
North America,,1993,4.0721893310546875
North America,,1994,14.713168144226074
North America,,1995,-7.983589172363281
North America,,1996,2.205169200897217
North America,,1997,1.8302083015441895
North America,,1998,-7.6657891273498535
North America,,1999,50.32439422607422
North America,,2000,26.431072235107422
North America,,2001,20.564138412475586
North America,,2002,52.015079498291016
North America,,2003,10.30874252319336
North America,,2004,27.105499267578125
North America,,2005,28.257429122924805
North America,,2006,49.863861083984375
North America,,2007,29.435956954956055
North America,,2008,57.41767883300781
North America,,2009,36.53437042236328
North America,,2010,28.988384246826172
North America,,2011,26.192235946655273
North America,,2012,18.115497589111328
North America,,2013,17.755245208740234
North America,,2014,9.656036376953125
North America,,2015,12.623250961303711
North America,,2016,18.40740394592285
North America,,2017,10.51749038696289
North America,,2018,7.596802711486816
North America,,2019,8.426499366760254
North America,,2020,13.860869407653809
North America,,2021,10.803055763244629
North America (BP),,1984,143.25341796875
North America (BP),,1985,4.036974906921387
North America (BP),,1986,-23.296802520751953
North America (BP),,1987,-12.512063980102539
North America (BP),,1988,-58.927391052246094
North America (BP),,1989,113442.8828125
North America (BP),,1990,32.108211517333984
North America (BP),,1991,5.81592321395874
North America (BP),,1992,-0.23421049118041992
North America (BP),,1993,4.014492034912109
North America (BP),,1994,14.525580406188965
North America (BP),,1995,-8.001094818115234
North America (BP),,1996,2.223062515258789
North America (BP),,1997,1.814568042755127
North America (BP),,1998,-7.716340065002441
North America (BP),,1999,50.39714431762695
North America (BP),,2000,25.898588180541992
North America (BP),,2001,20.55748748779297
North America (BP),,2002,52.18516540527344
North America (BP),,2003,10.33179759979248
North America (BP),,2004,26.99649429321289
North America (BP),,2005,28.35964012145996
North America (BP),,2006,50.05321502685547
North America (BP),,2007,29.539310455322266
North America (BP),,2008,57.58427429199219
North America (BP),,2009,36.52850341796875
North America (BP),,2010,28.94960594177246
North America (BP),,2011,26.196216583251953
North America (BP),,2012,18.026721954345703
North America (BP),,2013,17.565786361694336
North America (BP),,2014,9.665620803833008
North America (BP),,2015,12.63878345489502
North America (BP),,2016,18.497455596923828
North America (BP),,2017,10.498344421386719
North America (BP),,2018,7.575118541717529
North America (BP),,2019,8.337724685668945
North America (BP),,2020,13.83814811706543
North America (BP),,2021,10.821067810058594
North Macedonia,MKD,2015,70.9781494140625
North Macedonia,MKD,2016,-9.343605995178223
North Macedonia,MKD,2017,0.910639762878418
North Macedonia,MKD,2018,-11.895370483398438
North Macedonia,MKD,2019,4.590189456939697
North Macedonia,MKD,2020,14.811504364013672
North Macedonia,MKD,2021,-11.5917387008667
Norway,NOR,2000,111.53685760498047
Norway,NOR,2001,-4.771679878234863
Norway,NOR,2002,35.27714157104492
Norway,NOR,2003,464.9847106933594
Norway,NOR,2004,18.072677612304688
Norway,NOR,2005,95.37297821044922
Norway,NOR,2006,25.43635368347168
Norway,NOR,2007,40.2515754699707
Norway,NOR,2008,2.354252338409424
Norway,NOR,2009,7.00986385345459
Norway,NOR,2010,-10.030704498291016
Norway,NOR,2011,45.96131896972656
Norway,NOR,2012,20.654714584350586
Norway,NOR,2013,21.511638641357422
Norway,NOR,2014,17.86283302307129
Norway,NOR,2015,13.4415864944458
Norway,NOR,2016,-15.875077247619629
Norway,NOR,2017,34.893585205078125
Norway,NOR,2018,35.84443283081055
Norway,NOR,2019,42.50708770751953
Norway,NOR,2020,79.38461303710938
Norway,NOR,2021,18.727027893066406
OECD (BP),,1979,100
OECD (BP),,1980,75
OECD (BP),,1981,0
OECD (BP),,1982,76.19048309326172
OECD (BP),,1983,77.2699966430664
OECD (BP),,1984,36.47087860107422
OECD (BP),,1985,43.49101638793945
OECD (BP),,1986,116.18013000488281
OECD (BP),,1987,40.72960662841797
OECD (BP),,1988,69.71302032470703
OECD (BP),,1989,699.1369018554688
OECD (BP),,1990,35.79020690917969
OECD (BP),,1991,10.159945487976074
OECD (BP),,1992,13.843690872192383
OECD (BP),,1993,19.34888458251953
OECD (BP),,1994,21.306884765625
OECD (BP),,1995,9.1935396194458
OECD (BP),,1996,14.667725563049316
OECD (BP),,1997,30.968975067138672
OECD (BP),,1998,33.99615478515625
OECD (BP),,1999,32.89338302612305
OECD (BP),,2000,50.69148635864258
OECD (BP),,2001,20.94385528564453
OECD (BP),,2002,39.312408447265625
OECD (BP),,2003,20.996034622192383
OECD (BP),,2004,32.622982025146484
OECD (BP),,2005,22.448265075683594
OECD (BP),,2006,24.298465728759766
OECD (BP),,2007,27.96364974975586
OECD (BP),,2008,25.446557998657227
OECD (BP),,2009,19.97622299194336
OECD (BP),,2010,18.29819679260254
OECD (BP),,2011,22.923124313354492
OECD (BP),,2012,15.75583267211914
OECD (BP),,2013,15.731310844421387
OECD (BP),,2014,7.922184467315674
OECD (BP),,2015,16.791772842407227
OECD (BP),,2016,8.669221878051758
OECD (BP),,2017,14.885723114013672
OECD (BP),,2018,6.637108325958252
OECD (BP),,2019,11.485206604003906
OECD (BP),,2020,12.649369239807129
OECD (BP),,2021,4.419493675231934
Oceania,,1993,332.1638488769531
Oceania,,1994,118.03109741210938
Oceania,,1995,23.04111671447754
Oceania,,1996,91.3366928100586
Oceania,,1997,37.630126953125
Oceania,,1998,89.96177673339844
Oceania,,1999,104.62579345703125
Oceania,,2000,210.03659057617188
Oceania,,2001,67.5744857788086
Oceania,,2002,61.749481201171875
Oceania,,2003,23.44701385498047
Oceania,,2004,35.96861267089844
Oceania,,2005,65.44532775878906
Oceania,,2006,45.51398849487305
Oceania,,2007,35.831512451171875
Oceania,,2008,19.432353973388672
Oceania,,2009,30.934953689575195
Oceania,,2010,11.970579147338867
Oceania,,2011,26.68372344970703
Oceania,,2012,16.866600036621094
Oceania,,2013,15.061664581298828
Oceania,,2014,6.270384788513184
Oceania,,2015,18.425643920898438
Oceania,,2016,8.335054397583008
Oceania,,2017,-0.5112349987030029
Oceania,,2018,19.789005279541016
Oceania,,2019,18.53489875793457
Oceania,,2020,14.655876159667969
Oceania,,2021,18.169307708740234
Oman,OMN,2020,1098.8505859375
Oman,OMN,2021,-0.2732217311859131
Other Africa (BP),,1994,170
Other Africa (BP),,1995,16.666662216186523
Other Africa (BP),,1996,12.69841194152832
Other Africa (BP),,1997,1.4084458351135254
Other Africa (BP),,1998,5.555558204650879
Other Africa (BP),,1999,2.6315689086914062
Other Africa (BP),,2000,297.4359130859375
Other Africa (BP),,2001,-0.7096767425537109
Other Africa (BP),,2002,20.80571746826172
Other Africa (BP),,2003,9.721922874450684
Other Africa (BP),,2004,30.713987350463867
Other Africa (BP),,2005,-2.548283338546753
Other Africa (BP),,2006,0.6426692008972168
Other Africa (BP),,2007,20.23133087158203
Other Africa (BP),,2008,-0.19398927688598633
Other Africa (BP),,2009,108.61466217041016
Other Africa (BP),,2010,39.486167907714844
Other Africa (BP),,2011,-11.038171768188477
Other Africa (BP),,2012,155.06507873535156
Other Africa (BP),,2013,84.5834732055664
Other Africa (BP),,2014,36.10378646850586
Other Africa (BP),,2015,35.11476516723633
Other Africa (BP),,2016,10.292220115661621
Other Africa (BP),,2017,-8.024871826171875
Other Africa (BP),,2018,6.154632568359375
Other Africa (BP),,2019,95.62413787841797
Other Africa (BP),,2020,-3.333228826522827
Other Africa (BP),,2021,21.51641845703125
Other Asia Pacific (BP),,1997,199.78285217285156
Other Asia Pacific (BP),,1998,19.058311462402344
Other Asia Pacific (BP),,1999,-0.6514966487884521
Other Asia Pacific (BP),,2000,26.753162384033203
Other Asia Pacific (BP),,2001,-6.256091594696045
Other Asia Pacific (BP),,2002,19.232690811157227
Other Asia Pacific (BP),,2003,-41.71316146850586
Other Asia Pacific (BP),,2004,140.449951171875
Other Asia Pacific (BP),,2005,52.695762634277344
Other Asia Pacific (BP),,2006,61.17011260986328
Other Asia Pacific (BP),,2007,43.756187438964844
Other Asia Pacific (BP),,2008,9.410058975219727
Other Asia Pacific (BP),,2009,29.930782318115234
Other Asia Pacific (BP),,2010,16.597938537597656
Other Asia Pacific (BP),,2011,-13.195258140563965
Other Asia Pacific (BP),,2012,24.937175750732422
Other Asia Pacific (BP),,2013,64.14553833007812
Other Asia Pacific (BP),,2014,64.32013702392578
Other Asia Pacific (BP),,2015,17.551862716674805
Other Asia Pacific (BP),,2016,-6.503635406494141
Other Asia Pacific (BP),,2017,-1.949465274810791
Other Asia Pacific (BP),,2018,86.5719223022461
Other Asia Pacific (BP),,2019,33.87577438354492
Other Asia Pacific (BP),,2020,-1.482391357421875
Other Asia Pacific (BP),,2021,-1.453179121017456
Other CIS (BP),,2007,11.538457870483398
Other CIS (BP),,2008,-34.482757568359375
Other CIS (BP),,2009,126.31578063964844
Other CIS (BP),,2010,-4.651165008544922
Other CIS (BP),,2011,-26.829265594482422
Other CIS (BP),,2012,39.999996185302734
Other CIS (BP),,2013,-21.42856788635254
Other CIS (BP),,2014,51.51515197753906
Other CIS (BP),,2015,13.999998092651367
Other CIS (BP),,2016,-12.280702590942383
Other CIS (BP),,2017,82.00001525878906
Other CIS (BP),,2018,173.62637329101562
Other CIS (BP),,2019,85.94377899169922
Other CIS (BP),,2020,13.82288932800293
Other CIS (BP),,2021,35.065818786621094
Other Caribbean (BP),,1994,352.9411315917969
Other Caribbean (BP),,1995,0
Other Caribbean (BP),,1996,-5.299144744873047
Other Caribbean (BP),,1997,8.90495777130127
Other Caribbean (BP),,1998,13.730812072753906
Other Caribbean (BP),,1999,25.34143829345703
Other Caribbean (BP),,2000,245.87045288085938
Other Caribbean (BP),,2001,21.563005447387695
Other Caribbean (BP),,2002,26.70992660522461
Other Caribbean (BP),,2003,6.192183494567871
Other Caribbean (BP),,2004,47.339759826660156
Other Caribbean (BP),,2005,11.901294708251953
Other Caribbean (BP),,2006,15.110481262207031
Other Caribbean (BP),,2007,4.707777500152588
Other Caribbean (BP),,2008,8.09924602508545
Other Caribbean (BP),,2009,39.069400787353516
Other Caribbean (BP),,2010,45.41740417480469
Other Caribbean (BP),,2011,24.697410583496094
Other Caribbean (BP),,2012,51.86240768432617
Other Caribbean (BP),,2013,73.7314682006836
Other Caribbean (BP),,2014,7.738065719604492
Other Caribbean (BP),,2015,9.46362018585205
Other Caribbean (BP),,2016,-0.44971704483032227
Other Caribbean (BP),,2017,15.287566184997559
Other Caribbean (BP),,2018,12.779701232910156
Other Caribbean (BP),,2019,28.65970230102539
Other Caribbean (BP),,2020,18.216873168945312
Other Caribbean (BP),,2021,7.476544380187988
Other Europe (BP),,1994,43.02588653564453
Other Europe (BP),,1995,-5.785036087036133
Other Europe (BP),,1996,1.7543792724609375
Other Europe (BP),,1997,-5.172407627105713
Other Europe (BP),,1998,-0.7273733615875244
Other Europe (BP),,1999,2.930474281311035
Other Europe (BP),,2000,-6.939512252807617
Other Europe (BP),,2001,-3.6329030990600586
Other Europe (BP),,2002,9.722221374511719
Other Europe (BP),,2003,441.2294921875
Other Europe (BP),,2004,150.88539123535156
Other Europe (BP),,2005,50.91225051879883
Other Europe (BP),,2006,40.99893569946289
Other Europe (BP),,2007,4.887974262237549
Other Europe (BP),,2008,-16.64777374267578
Other Europe (BP),,2009,14.57512378692627
Other Europe (BP),,2010,-2.6929140090942383
Other Europe (BP),,2011,-0.30820369720458984
Other Europe (BP),,2012,-24.082178115844727
Other Europe (BP),,2013,100.53448486328125
Other Europe (BP),,2014,55.07974624633789
Other Europe (BP),,2015,58.19664001464844
Other Europe (BP),,2016,52.99654006958008
Other Europe (BP),,2017,226.8758087158203
Other Europe (BP),,2018,95.93798828125
Other Europe (BP),,2019,191.76580810546875
Other Europe (BP),,2020,6.711924076080322
Other Europe (BP),,2021,12.215089797973633
Other Middle East (BP),,1991,0
Other Middle East (BP),,1992,0
Other Middle East (BP),,1993,0
Other Middle East (BP),,1994,0
Other Middle East (BP),,1995,0
Other Middle East (BP),,1996,0
Other Middle East (BP),,1997,200
Other Middle East (BP),,1998,0
Other Middle East (BP),,1999,0
Other Middle East (BP),,2000,0
Other Middle East (BP),,2001,0
Other Middle East (BP),,2002,0
Other Middle East (BP),,2003,0
Other Middle East (BP),,2004,36.66666793823242
Other Middle East (BP),,2005,0
Other Middle East (BP),,2006,0
Other Middle East (BP),,2007,0
Other Middle East (BP),,2008,29.268287658691406
Other Middle East (BP),,2009,0
Other Middle East (BP),,2010,0
Other Middle East (BP),,2011,0
Other Middle East (BP),,2012,18.86793327331543
